coin_id,Market Cap_mean,Market Cap_median,Market Cap_std,Market Cap_min,Market Cap_max,low_mean,low_median,low_std,low_min,low_max,high_mean,high_median,high_std,high_min,high_max,open_mean,open_median,open_std,open_min,open_max,close_mean,close_median,close_std,close_min,close_max,volume_mean,volume_median,volume_std,volume_min,volume_max,3m_yield_mean,3m_yield_median,3m_yield_std,3m_yield_min,3m_yield_max,2yr_yield_mean,2yr_yield_median,2yr_yield_std,2yr_yield_min,2yr_yield_max,5yr_yield_mean,5yr_yield_median,5yr_yield_std,5yr_yield_min,5yr_yield_max,7yr_yield_mean,7yr_yield_median,7yr_yield_std,7yr_yield_min,7yr_yield_max,10yr_yield_mean,10yr_yield_median,10yr_yield_std,10yr_yield_min,10yr_yield_max,30yr_yield_mean,30yr_yield_median,30yr_yield_std,30yr_yield_min,30yr_yield_max,federal_funds_rate_mean,federal_funds_rate_median,federal_funds_rate_std,federal_funds_rate_min,federal_funds_rate_max
aave,2287693956.6193943,1366421299.2626448,1597015841.5133705,684361971.5268912,7953335447.113418,163.26161567516525,93.36,119.58173363341798,45.47,563.079,181.7375656279509,101.69,137.0677584999361,51.19,670.0,172.61036449480642,96.37,128.28508648427962,49.68,629.044,172.60209726156754,96.34,128.25437723294726,49.65,628.5,72428.09933144476,55442.857,57788.233363353014,3281.697,556634.2,2.364821372363865,1.61,2.306531164515076,0.01,5.63,2.544826093799182,2.835,1.9109131647293522,0.09,5.19,2.589226471514007,2.93,1.4407525499538838,0.36,4.95,2.6948591438463962,2.94,1.2769247477024483,0.64,5.0,2.7395144790683035,2.89,1.1386840709855695,0.93,4.98,3.04741816178785,3.08,0.9380687450018326,1.66,5.11,2.1555587031791,0.83,2.186725372190625,0.05,5.33
algo,3385032999.3518715,2291340890.1647253,3137103324.276335,318202482.5199069,13397094705.656092,0.6321555240793202,0.363,0.5274827907989234,0.0873,2.0321,0.7026036827195468,0.3971,0.5977699053408643,0.0905,2.82,0.6672179414542021,0.3787,0.5605344559551726,0.0887,2.3778,0.6669548630783758,0.3789,0.5605376362279616,0.0888,2.3787,30622325.961756375,24658551.0,24692192.293101173,3246078.5,337299724.0,2.364821372363865,1.61,2.306531164515076,0.01,5.63,2.544826093799182,2.835,1.9109131647293522,0.09,5.19,2.589226471514007,2.93,1.4407525499538838,0.36,4.95,2.6948591438463962,2.94,1.2769247477024483,0.64,5.0,2.7395144790683035,2.89,1.1386840709855695,0.93,4.98,3.04741816178785,3.08,0.9380687450018326,1.66,5.11,2.1555587031791,0.83,2.186725372190625,0.05,5.33
atom,4551543363.780741,3460357320.606756,2552190394.222982,1289336359.9180584,12451582328.282324,15.433787535410763,11.68,8.486342818553952,4.989,39.12,17.08968460812087,12.911,9.689992604998881,5.897,44.8,16.280241737488197,12.28,9.1080783558659,5.419,44.295,16.28151180358829,12.276,9.104269908131881,5.422,44.306,1338231.902332389,1018048.77,1193594.2017162824,79902.03,8593917.4,2.364821372363865,1.61,2.306531164515076,0.01,5.63,2.544826093799182,2.835,1.9109131647293522,0.09,5.19,2.589226471514007,2.93,1.4407525499538838,0.36,4.95,2.6948591438463962,2.94,1.2769247477024483,0.64,5.0,2.7395144790683035,2.89,1.1386840709855695,0.93,4.98,3.04741816178785,3.08,0.9380687450018326,1.66,5.11,2.1555587031791,0.83,2.186725372190625,0.05,5.33
btc,657532307169.675,593627203721.8534,235357022095.1715,301963847693.5264,1278797895528.3608,33595.53306893296,30066.95,12231.65980967999,15460.0,66261.79,35433.167875354105,31887.82,13094.833024176975,16279.99,69000.0,34565.72759206799,30842.04,12707.604422408693,15758.96,67554.13,34573.34225684608,30855.95,12706.293709016125,15760.14,67554.84,18673.70242143846,15889.22078935,12697.269910888801,1862.15021008,119633.96194081,2.364821372363865,1.61,2.306531164515076,0.01,5.63,2.544826093799182,2.835,1.9109131647293522,0.09,5.19,2.589226471514007,2.93,1.4407525499538838,0.36,4.95,2.6948591438463962,2.94,1.2769247477024483,0.64,5.0,2.7395144790683035,2.89,1.1386840709855695,0.93,4.98,3.04741816178785,3.08,0.9380687450018326,1.66,5.11,2.1555587031791,0.83,2.186725372190625,0.05,5.33
dai,5638062172.825661,5256047934.172685,2012339308.4272256,1184381402.4462416,9951881495.35472,0.9989727714825306,0.9995,0.004885418944514395,0.8582,1.00211,1.00134376203966,1.000309,0.005405249506090715,0.995,1.1,1.0001312691218132,0.999965,0.0011187379443752586,0.9699,1.005329,1.000123640226629,0.999957,0.001112835543555369,0.9699,1.004911,6709512.636801067,3131427.28669,9996250.474338342,118257.79488,137908115.90307,2.364821372363865,1.61,2.306531164515076,0.01,5.63,2.544826093799182,2.835,1.9109131647293522,0.09,5.19,2.589226471514007,2.93,1.4407525499538838,0.36,4.95,2.6948591438463962,2.94,1.2769247477024483,0.64,5.0,2.7395144790683035,2.89,1.1386840709855695,0.93,4.98,3.04741816178785,3.08,0.9380687450018326,1.66,5.11,2.1555587031791,0.83,2.186725372190625,0.05,5.33
etc,3951738975.033411,3107818802.0285573,2258531399.95663,662847705.6514767,17164632587.325249,28.258943342776206,21.53,16.30275164130497,5.601,115.0,31.201352219074597,23.19,19.69726844864582,5.888,175.0,29.737898016997168,22.42,17.858563439744156,5.682,141.059,29.749709159584512,22.41,17.843457653984753,5.72,141.059,430132.5848989866,161284.02236291,988932.6870742003,5112.89986774,14184399.04951975,2.364821372363865,1.61,2.306531164515076,0.01,5.63,2.544826093799182,2.835,1.9109131647293522,0.09,5.19,2.589226471514007,2.93,1.4407525499538838,0.36,4.95,2.6948591438463962,2.94,1.2769247477024483,0.64,5.0,2.7395144790683035,2.89,1.1386840709855695,0.93,4.98,3.04741816178785,3.08,0.9380687450018326,1.66,5.11,2.1555587031791,0.83,2.186725372190625,0.05,5.33
eth,260030983237.3127,222487488380.58923,103779013438.56735,83294083323.20639,571665766496.0859,2109.697847025496,1823.21,846.7059061667782,715.22,4697.9,2251.485476864967,1887.12,909.4562547960993,750.0,4867.81,2184.8870538243627,1855.71,881.9525703799604,730.97,4811.89,2186.2165911237016,1856.0,880.9263900923022,730.99,4811.9,233753.6200944371,186740.13696568,182943.28775065162,13173.50160468,1664158.9063247,2.364821372363865,1.61,2.306531164515076,0.01,5.63,2.544826093799182,2.835,1.9109131647293522,0.09,5.19,2.589226471514007,2.93,1.4407525499538838,0.36,4.95,2.6948591438463962,2.94,1.2769247477024483,0.64,5.0,2.7395144790683035,2.89,1.1386840709855695,0.93,4.98,3.04741816178785,3.08,0.9380687450018326,1.66,5.11,2.1555587031791,0.83,2.186725372190625,0.05,5.33
fil,3431100032.306978,2202023362.1784863,2577721827.959643,933651801.4490068,12306583039.560392,27.81410207743154,7.628,35.456509473144465,2.371,180.7749,30.852715297450423,8.5,39.92404746394227,2.97,237.7296,29.376122190745985,8.091,37.65033621391423,2.814,190.9044,29.354522474032105,8.09,37.65154227242139,2.815,190.9044,690466.5789320113,487979.133,662284.5852872005,35263.343,5381137.09,2.364821372363865,1.61,2.306531164515076,0.01,5.63,2.544826093799182,2.835,1.9109131647293522,0.09,5.19,2.589226471514007,2.93,1.4407525499538838,0.36,4.95,2.6948591438463962,2.94,1.2769247477024483,0.64,5.0,2.7395144790683035,2.89,1.1386840709855695,0.93,4.98,3.04741816178785,3.08,0.9380687450018326,1.66,5.11,2.1555587031791,0.83,2.186725372190625,0.05,5.33
knc,246042575.9736266,139924479.71302792,346726682.6172072,19089009.14794445,2099791006.2739055,1.406060434372049,1.317,0.8414755224761236,0.4326,5.211,1.5755001888574127,1.4458,0.9739655919247218,0.4584,5.73,1.490630311614731,1.3785,0.9031780863111237,0.4555,5.5571,1.4906585457979227,1.3792,0.9033031054061796,0.4556,5.5569,1624101.931161473,807060.4,2431087.419278023,25782.3,25152068.0,2.364821372363865,1.61,2.306531164515076,0.01,5.63,2.544826093799182,2.835,1.9109131647293522,0.09,5.19,2.589226471514007,2.93,1.4407525499538838,0.36,4.95,2.6948591438463962,2.94,1.2769247477024483,0.64,5.0,2.7395144790683035,2.89,1.1386840709855695,0.93,4.98,3.04741816178785,3.08,0.9380687450018326,1.66,5.11,2.1555587031791,0.83,2.186725372190625,0.05,5.33
link,6901293745.166853,4478996371.697018,4162035071.3596435,2644424043.067537,22037403034.96592,14.274648772426817,8.803,9.249945986887202,4.926,46.6,15.761181888574125,9.525,10.54528337200285,5.19,52.99,15.062843692162417,9.152,9.962589557092844,5.131,52.3203,15.066195429650614,9.154,9.961575146922316,5.133,52.33984,2986460.059301228,2486147.75,2076181.88138929,183236.7,17067351.08,2.364821372363865,1.61,2.306531164515076,0.01,5.63,2.544826093799182,2.835,1.9109131647293522,0.09,5.19,2.589226471514007,2.93,1.4407525499538838,0.36,4.95,2.6948591438463962,2.94,1.2769247477024483,0.64,5.0,2.7395144790683035,2.89,1.1386840709855695,0.93,4.98,3.04741816178785,3.08,0.9380687450018326,1.66,5.11,2.1555587031791,0.83,2.186725372190625,0.05,5.33
snx,1203830176.9864643,873813567.7529205,761546788.1054505,344079941.85588306,3921508916.842341,6.01680462700661,2.955,5.336684268416403,1.399,25.3,6.782253635505194,3.475,6.144440418601537,1.456,29.0,6.397077431539188,3.222,5.735668278651769,1.434,27.1283,6.392898677998112,3.222,5.734558094294753,1.432,27.1283,927490.4370339944,742308.641,740927.9918076956,32531.497,5425145.503,2.364821372363865,1.61,2.306531164515076,0.01,5.63,2.544826093799182,2.835,1.9109131647293522,0.09,5.19,2.589226471514007,2.93,1.4407525499538838,0.36,4.95,2.6948591438463962,2.94,1.2769247477024483,0.64,5.0,2.7395144790683035,2.89,1.1386840709855695,0.93,4.98,3.04741816178785,3.08,0.9380687450018326,1.66,5.11,2.1555587031791,0.83,2.186725372190625,0.05,5.33
uma,449536703.2571233,205401320.82681307,423196686.3789748,93184257.81636328,1956284328.8497064,6.829236071765817,2.94,6.794852019499902,1.23,28.919,7.734472143531633,3.215,7.934325030161186,1.267,44.989,7.230039660056657,3.033,7.301849088930701,1.255,34.056,7.224288007554296,3.033,7.303069864987601,1.255,34.071,367922.32328423037,228128.79,597243.1287438247,5241.908,7618224.015,2.364821372363865,1.61,2.306531164515076,0.01,5.63,2.544826093799182,2.835,1.9109131647293522,0.09,5.19,2.589226471514007,2.93,1.4407525499538838,0.36,4.95,2.6948591438463962,2.94,1.2769247477024483,0.64,5.0,2.7395144790683035,2.89,1.1386840709855695,0.93,4.98,3.04741816178785,3.08,0.9380687450018326,1.66,5.11,2.1555587031791,0.83,2.186725372190625,0.05,5.33
uni,6671585894.54462,4634742405.97019,4553951728.661631,1022200635.804044,22531045773.149952,11.927366194523135,6.713,8.917902142824191,3.324,41.5141,13.156276298394712,7.249,10.01201513973273,3.926,45.0239,12.559341454202077,6.959,9.479457881763421,3.637,43.1254,12.560632577903682,6.959,9.47837068961139,3.637,43.1305,1055103.8859486922,736175.594975,1158016.617376108,52482.190793,11409515.83152,2.364821372363865,1.61,2.306531164515076,0.01,5.63,2.544826093799182,2.835,1.9109131647293522,0.09,5.19,2.589226471514007,2.93,1.4407525499538838,0.36,4.95,2.6948591438463962,2.94,1.2769247477024483,0.64,5.0,2.7395144790683035,2.89,1.1386840709855695,0.93,4.98,3.04741816178785,3.08,0.9380687450018326,1.66,5.11,2.1555587031791,0.83,2.186725372190625,0.05,5.33
wbtc,6928520077.542075,5654698966.18779,3156134660.825434,3032125381.019155,15882338484.147598,33613.79789423985,30064.85,12240.85305919175,15437.72,66309.91,35444.607497639285,31981.77,13103.151778716034,16151.49,69017.71,34565.07045325779,30824.24,12719.407914886786,15720.11,67541.31,34573.50487252124,30862.72,12716.947095199037,15720.11,67541.31,14.386469481425873,6.99296221,27.360157787962816,0.31630517,393.97813773,2.364821372363865,1.61,2.306531164515076,0.01,5.63,2.544826093799182,2.835,1.9109131647293522,0.09,5.19,2.589226471514007,2.93,1.4407525499538838,0.36,4.95,2.6948591438463962,2.94,1.2769247477024483,0.64,5.0,2.7395144790683035,2.89,1.1386840709855695,0.93,4.98,3.04741816178785,3.08,0.9380687450018326,1.66,5.11,2.1555587031791,0.83,2.186725372190625,0.05,5.33
yfi,665139193.902177,338308344.1171388,520091208.0336401,138875135.64144695,2927390093.8725586,18170.22403210576,9704.88,13352.054413974029,4020.0,66154.04,20086.636383380548,10834.27,15324.482032048736,4855.17,96000.0,19148.858083097264,10213.69,14347.66622103496,4371.4,82933.97,19136.13323890463,10194.93,14350.513686655042,4369.27,82841.13,452.1652751444759,288.620297,499.8896991899514,33.219182,4709.316775,2.364821372363865,1.61,2.306531164515076,0.01,5.63,2.544826093799182,2.835,1.9109131647293522,0.09,5.19,2.589226471514007,2.93,1.4407525499538838,0.36,4.95,2.6948591438463962,2.94,1.2769247477024483,0.64,5.0,2.7395144790683035,2.89,1.1386840709855695,0.93,4.98,3.04741816178785,3.08,0.9380687450018326,1.66,5.11,2.1555587031791,0.83,2.186725372190625,0.05,5.33
zec,1074300422.3130393,894726527.8794879,719267621.1179726,193034640.8032505,3529497594.359812,87.87472143531633,69.76,57.12511111613715,21.3,296.03,97.34709159584514,77.72,65.97728871171272,24.72,386.0,92.79603399433428,73.75,61.58436772703868,24.04,320.19,92.76314447592068,73.76,61.60744316965723,24.01,320.16,42826.01030628151,29058.90705657,42778.02964883761,2046.87193,367363.58015516,2.364821372363865,1.61,2.306531164515076,0.01,5.63,2.544826093799182,2.835,1.9109131647293522,0.09,5.19,2.589226471514007,2.93,1.4407525499538838,0.36,4.95,2.6948591438463962,2.94,1.2769247477024483,0.64,5.0,2.7395144790683035,2.89,1.1386840709855695,0.93,4.98,3.04741816178785,3.08,0.9380687450018326,1.66,5.11,2.1555587031791,0.83,2.186725372190625,0.05,5.33
zrx,472928124.4628349,309198353.95481896,386136137.55373746,14659853.685825111,1816326873.611762,0.564309314447592,0.366733,0.43194027989869455,0.145409,2.103019,0.6317259990557129,0.411248,0.4984558785888246,0.150983,2.397994,0.5981062955618508,0.387105,0.46483827834689334,0.147767,2.292376,0.5981772728989613,0.388402,0.46477091881127813,0.147739,2.294368,7076669.477208253,4203110.06969,12120420.785361992,243004.22465,260164143.05624,2.364821372363865,1.61,2.306531164515076,0.01,5.63,2.544826093799182,2.835,1.9109131647293522,0.09,5.19,2.589226471514007,2.93,1.4407525499538838,0.36,4.95,2.6948591438463962,2.94,1.2769247477024483,0.64,5.0,2.7395144790683035,2.89,1.1386840709855695,0.93,4.98,3.04741816178785,3.08,0.9380687450018326,1.66,5.11,2.1555587031791,0.83,2.186725372190625,0.05,5.33
