coin_id,timestamp,Market Cap,low,high,open,close,volume,3m_yield,2yr_yield,5yr_yield,7yr_yield,10yr_yield,30yr_yield,federal_funds_rate
aave,2021-01-01,1079072669.9159973,84.92,91.127,88.614,91.119,55762.489,0.09,0.11,0.36,0.64,0.93,1.66,0.09
aave,2021-01-02,1031438129.5907547,82.68,92.443,91.074,85.825,53520.185,0.09,0.11,0.36,0.64,0.93,1.66,0.09
aave,2021-01-03,1144026140.5399802,81.596,95.13,85.867,93.86,85049.811,0.09,0.11,0.36,0.64,0.93,1.66,0.09
aave,2021-01-04,1307177513.8897305,84.488,116.131,94.044,114.359,193199.62,0.09,0.11,0.36,0.64,0.93,1.66,0.09
aave,2021-01-05,1444937745.3552537,98.0,124.22,114.343,119.923,187295.32,0.09,0.13,0.38,0.66,0.96,1.7,0.09
aave,2021-01-06,1396859729.5140812,108.255,120.949,119.724,115.767,112899.852,0.09,0.14,0.43,0.74,1.04,1.81,0.09
aave,2021-01-07,1395927335.9952984,107.211,129.431,115.922,115.202,142076.635,0.09,0.14,0.46,0.78,1.08,1.85,0.09
aave,2021-01-08,1342654490.8358502,100.205,119.321,115.202,110.818,147775.511,0.08,0.14,0.49,0.81,1.13,1.87,0.09
aave,2021-01-09,1444658076.7481136,106.049,119.82,110.8,118.144,88014.861,0.08,0.14,0.49333333333333335,0.8200000000000001,1.1366666666666665,1.8733333333333333,0.09
aave,2021-01-10,1549539171.5818508,110.183,144.7,118.264,126.937,210357.063,0.08,0.14,0.49666666666666665,0.83,1.1433333333333333,1.8766666666666667,0.09
aave,2021-01-11,1394265294.9110885,94.033,127.446,127.157,114.278,217243.668,0.08,0.14,0.5,0.84,1.15,1.88,0.09
aave,2021-01-12,1536481877.880659,109.335,137.5,114.465,127.558,183872.67,0.09,0.14,0.5,0.83,1.15,1.88,0.09
aave,2021-01-13,1795039758.4677303,119.384,148.742,127.411,147.23,145125.715,0.09,0.14,0.48,0.8,1.1,1.82,0.09
aave,2021-01-14,1772279084.6009612,137.358,154.9,147.477,147.716,91853.421,0.09,0.16,0.49,0.82,1.15,1.88,0.09
aave,2021-01-15,2042273198.8742115,139.317,167.999,147.699,166.506,125944.252,0.09,0.13,0.46,0.78,1.11,1.85,0.09
aave,2021-01-16,2252928453.331176,166.31,204.065,166.31,181.002,257803.505,0.09,0.1325,0.4575,0.78,1.1075000000000002,1.8475000000000001,0.09
aave,2021-01-17,2286519600.970581,174.251,198.6,181.035,186.876,127678.208,0.09,0.135,0.455,0.78,1.105,1.8450000000000002,0.09
aave,2021-01-18,2430766369.762072,179.106,201.494,186.5,200.41,97579.281,0.09,0.1375,0.4525,0.78,1.1025,1.8425,0.09
aave,2021-01-19,2312276665.2308903,184.133,210.096,200.41,186.294,124259.003,0.09,0.14,0.45,0.78,1.1,1.84,0.09
aave,2021-01-20,2421538106.9929643,171.294,199.697,186.064,196.936,125942.461,0.08,0.13,0.45,0.78,1.1,1.84,0.09
aave,2021-01-21,1977005934.9939687,153.921,199.369,197.086,160.352,169979.384,0.09,0.13,0.45,0.79,1.12,1.87,0.08
aave,2021-01-22,2347620823.086479,146.385,200.0,159.99,189.8,147684.296,0.08,0.13,0.44,0.77,1.1,1.85,0.08
aave,2021-01-23,2589783901.622529,185.6,220.717,189.723,213.919,136465.585,0.08333333333333333,0.13,0.43333333333333335,0.7566666666666667,1.0833333333333335,1.8333333333333335,0.08
aave,2021-01-24,3294460157.877113,212.401,348.548,213.434,264.243,403365.382,0.08666666666666667,0.13,0.42666666666666664,0.7433333333333333,1.0666666666666667,1.8166666666666667,0.08
aave,2021-01-25,3082352025.3280973,238.109,283.011,264.48,248.076,271455.788,0.09,0.13,0.42,0.73,1.05,1.8,0.08
aave,2021-01-26,3397861103.731756,240.503,295.0,248.076,277.808,244667.411,0.07,0.11,0.42,0.74,1.05,1.8,0.08
aave,2021-01-27,3526891987.711221,256.0,298.0,277.674,286.685,226071.236,0.08,0.12,0.41,0.72,1.04,1.79,0.08
aave,2021-01-28,3667671069.089088,275.614,310.0,286.573,298.246,128131.865,0.07,0.12,0.42,0.75,1.07,1.81,0.07
aave,2021-01-29,3536601210.091141,270.62,309.901,298.544,288.095,185458.24,0.06,0.11,0.45,0.79,1.11,1.87,0.07
aave,2021-01-30,3866671035.5717072,282.0,323.81,288.419,315.493,128029.961,0.06333333333333334,0.11,0.44,0.78,1.1033333333333335,1.86,0.07333333333333333
aave,2021-01-31,3694895084.23773,292.36,319.0,315.059,300.3,83766.681,0.06666666666666667,0.11,0.43,0.77,1.0966666666666667,1.85,0.07666666666666667
aave,2021-02-01,3631127137.172681,284.0,307.73,300.423,294.671,87937.403,0.07,0.11,0.42,0.76,1.09,1.84,0.08
aave,2021-02-02,3736440115.696903,285.008,307.0,294.946,303.527,111124.527,0.07,0.11,0.45,0.79,1.12,1.87,0.08
aave,2021-02-03,4716909693.591059,301.0,389.404,303.532,385.608,152204.424,0.04,0.11,0.46,0.81,1.15,1.92,0.08
aave,2021-02-04,5725294382.626893,384.982,546.88,385.552,467.422,556634.2,0.04,0.11,0.46,0.81,1.15,1.93,0.08
aave,2021-02-05,6206119654.851098,465.026,549.0,467.426,506.688,216719.22,0.03,0.09,0.47,0.83,1.19,1.97,0.08
aave,2021-02-06,5806202408.699114,436.252,511.806,507.12,473.986,164592.706,0.03666666666666667,0.09666666666666666,0.47333333333333333,0.83,1.19,1.9666666666666666,0.07666666666666667
aave,2021-02-07,5910212930.18593,393.263,482.979,474.622,473.491,154126.448,0.043333333333333335,0.10333333333333333,0.4766666666666666,0.83,1.19,1.9633333333333334,0.07333333333333333
aave,2021-02-08,6033867105.878918,432.0,532.426,473.475,489.702,158265.904,0.05,0.11,0.48,0.83,1.19,1.96,0.07
aave,2021-02-09,6082195942.165316,472.153,511.0,489.755,489.397,82154.967,0.04,0.11,0.48,0.83,1.18,1.95,0.08
aave,2021-02-10,6507804462.390291,489.104,580.0,489.397,523.231,175647.042,0.05,0.11,0.46,0.8,1.15,1.92,0.08
