Date,Coin,actual,predicted,Residual
2021-01-01,aave,-0.408931955845111,-0.27466704715948204,-0.13426490868562896
2021-01-02,aave,-0.4093440568139352,-0.543491436844388,0.13414738003045285
2021-01-03,aave,-0.408718588116447,-0.38647883498223706,-0.02223975313420995
2021-01-04,aave,-0.4071228839683684,-0.4078551332987512,0.0007322493303828503
2021-01-05,aave,-0.4066897653830761,-0.40548529611478734,-0.0012044692682887659
2021-01-06,aave,-0.4070132809906381,-0.40633041872966474,-0.0006828622609733603
2021-01-07,aave,-0.4070572622991734,-0.406974828553031,-8.243374614236298e-05
2021-01-08,aave,-0.4073985261161974,-0.4078975930983433,0.0004990669821458571
2021-01-09,aave,-0.4068282481226942,-0.4068558314759928,2.758335329861028e-05
2021-01-10,aave,-0.4061437744130471,-0.4063437832764516,0.0002000088634044883
2021-01-11,aave,-0.4071291892533089,-0.40704776174601665,-8.142750729223103e-05
2021-01-12,aave,-0.4060954338951703,-0.4060069358308457,-8.849806432459362e-05
2021-01-13,aave,-0.4045641059279036,-0.4046151704768491,5.106454894548973e-05
2021-01-14,aave,-0.4045262742182608,-0.4047291353925517,0.00020286117429085815
2021-01-15,aave,-0.4030636037981234,-0.4027107303608917,-0.0003528734372316711
2021-01-16,aave,-0.4019351913228541,-0.4017590376968042,-0.00017615362604989082
2021-01-17,aave,-0.4014779414001352,-0.4018872345551064,0.0004092931549711798
2021-01-18,aave,-0.4004244139139118,-0.40064498311761904,0.00022056920370722155
2021-01-19,aave,-0.4015232460400778,-0.40069823062273374,-0.0008250154173440327
2021-01-20,aave,-0.4006948405791357,-0.4006890622658176,-5.778313318105521e-06
2021-01-21,aave,-0.40354264976755,-0.4037099747714663,0.00016732500391630767
2021-01-22,aave,-0.4012503283980873,-0.40148592973785985,0.00023560133977257314
2021-01-23,aave,-0.3993728325032872,-0.4001284925246642,0.0007556600213770026
2021-01-24,aave,-0.3954554601657143,-0.39545724054215564,1.7803764413293344e-06
2021-01-25,aave,-0.3967139483340146,-0.39605738164592263,-0.0006565666880919419
2021-01-26,aave,-0.3943995195457483,-0.3942447297086906,-0.00015478983705768945
2021-01-27,aave,-0.3937085070220888,-0.3937567698818833,4.8262859794478974e-05
2021-01-28,aave,-0.3928085638221311,-0.3926607662734706,-0.00014779754866051098
2021-01-29,aave,-0.3935987483583106,-0.393490558047271,-0.00010819031103959098
2021-01-30,aave,-0.3914660051879581,-0.39170184447852907,0.00023583929057097164
2021-01-31,aave,-0.392648674250925,-0.3925628153992231,-8.585885170186991e-05
2021-02-01,aave,-0.3930868526327745,-0.3928361254753783,-0.0002507271573962133
2021-02-02,aave,-0.3923974748126183,-0.3926517016002023,0.00025422678758402206
2021-02-03,aave,-0.3860080415632678,-0.3873481066482533,0.00134006508498552
2021-02-04,aave,-0.3796393924013135,-0.3803915829817259,0.0007521905804123707
2021-02-05,aave,-0.3765828082226486,-0.37552696595036417,-0.0010558422722844463
2021-02-06,aave,-0.379128430792065,-0.3771859880583488,-0.0019424427337161876
2021-02-07,aave,-0.3791669630889233,-0.3778244666176561,-0.0013424964712671628
2021-02-08,aave,-0.377905049827569,-0.37952272905829626,0.0016176792307272536
2021-02-09,aave,-0.3779287919498756,-0.3788072778835725,0.000878485933696882
2021-02-10,aave,-0.3752950510773409,-0.3756569360543949,0.00036188497705397227
2021-02-11,aave,-0.3756813081622117,-0.37566193061306863,-1.9377549143051453e-05
2021-02-12,aave,-0.3748526691721977,-0.37463659469805427,-0.00021607447414345726
2021-02-13,aave,-0.3775119425565901,-0.3766534167098511,-0.0008585258467390111
2021-02-14,aave,-0.3795392862725059,-0.3789615658459312,-0.0005777204265746683
2021-02-15,aave,-0.3806067476600175,-0.382070602138336,0.0014638544783184826
2021-02-16,aave,-0.3823100308672036,-0.38211571472863065,-0.0001943161385729586
2021-02-17,aave,-0.3808077383478724,-0.3810854914980757,0.00027775315020328595
2021-02-18,aave,-0.3816297606808502,-0.38124168284288834,-0.00038807783796185324
2021-02-19,aave,-0.383328139777527,-0.3830141635650284,-0.0003139762124986234
2021-02-20,aave,-0.3815969887677646,-0.3822241010213029,0.0006271122535382867
2021-02-21,aave,-0.3819175463404163,-0.38223978819623927,0.00032224185582296894
2021-02-22,aave,-0.3849085088498861,-0.38418019332140757,-0.0007283155284785181
2021-02-23,aave,-0.3876438348686838,-0.3873365047912998,-0.00030733007738403817
2021-02-24,aave,-0.3873456182439075,-0.3872911560398554,-5.4462204052085905e-05
2021-02-25,aave,-0.3896656517298987,-0.38997357750499306,0.00030792577509436425
2021-02-26,aave,-0.3908250457287026,-0.39103452051450416,0.00020947478580157775
2021-02-27,aave,-0.3900972912977359,-0.3901773750810848,8.008378334889432e-05
2021-02-28,aave,-0.3883883255498011,-0.38924730047876016,0.0008589749289590887
2021-03-01,aave,-0.3860081972493157,-0.3862925518981463,0.00028435464883064254
2021-03-02,aave,-0.3855764019954305,-0.3844541342001181,-0.0011222677953123816
2021-03-03,aave,-0.3851981627420273,-0.38440462271117337,-0.000793540030853912
2021-03-04,aave,-0.3868720212861579,-0.3870446874692169,0.0001726661830590004
2021-03-05,aave,-0.3874142757910369,-0.38775910636703986,0.0003448305760029857
2021-03-06,aave,-0.3857509260551404,-0.38601873320678154,0.0002678071516411529
2021-03-07,aave,-0.3837204686182663,-0.3843375814457991,0.0006171128275327953
2021-03-08,aave,-0.3819797429165573,-0.3819154730895169,-6.426982704038631e-05
2021-03-09,aave,-0.3813931178880232,-0.38050997854811813,-0.0008831393399050813
2021-03-10,aave,-0.3843941221475834,-0.38354560994718306,-0.0008485122004003309
2021-03-11,aave,-0.3843583921995875,-0.38495660145611105,0.0005982092565235408
2021-03-12,aave,-0.3868706201117267,-0.38733648668340576,0.0004658665716790744
2021-03-13,aave,-0.3838008804620131,-0.38372958198564755,-7.129847636555553e-05
2021-03-14,aave,-0.3864164060669421,-0.38634385809655863,-7.254797038347416e-05
2021-03-15,aave,-0.3874142757910369,-0.38766599701408905,0.0002517212230521704
2021-03-16,aave,-0.3871779443703058,-0.38735234540840546,0.00017440103809968077
2021-03-17,aave,-0.3862472531758852,-0.3862791816658283,3.192848994310049e-05
2021-03-18,aave,-0.3877637909686003,-0.38751949740745834,-0.00024429356114197276
2021-03-19,aave,-0.387326935918158,-0.3869957169436348,-0.00033121897452315086
2021-03-20,aave,-0.3871983392425823,-0.3874434527201474,0.0002451134775651176
2021-03-21,aave,-0.387398084442054,-0.3878093532332317,0.0004112687911776991
2021-03-22,aave,-0.3898618161502684,-0.38924064530954094,-0.0006211708407274363
2021-03-23,aave,-0.3903189103869393,-0.39001687920827044,-0.0003020311786688379
2021-03-24,aave,-0.3920249180999638,-0.39230393655542495,0.000279018455461133
2021-03-25,aave,-0.3906875749483959,-0.3914067309499835,0.0007191560015876175
2021-03-26,aave,-0.3881005398902349,-0.3883262608551158,0.00022572096488088222
