date,y_3month,y_2year,y_5year,y_7year,y_10year,y_30year,federal_funds_rate
2023-11-23,.,.,.,.,.,.,5.33
2023-11-22,5.54,4.89,4.44,4.46,4.42,4.55,5.33
2023-11-21,5.53,4.86,4.41,4.44,4.41,4.57,5.33
2023-11-20,5.54,4.89,4.44,4.46,4.42,4.57,5.33
2023-11-17,5.50,4.88,4.45,4.47,4.44,4.59,5.33
2023-11-16,5.51,4.83,4.43,4.47,4.45,4.63,5.33
2023-11-15,5.53,4.90,4.52,4.56,4.53,4.68,5.33
2023-11-14,5.52,4.80,4.42,4.45,4.44,4.61,5.33
2023-11-13,5.55,5.02,4.66,4.69,4.63,4.75,5.33
2023-11-10,5.53,5.04,4.65,4.68,4.61,4.73,5.33
2023-11-09,5.54,5.03,4.65,4.68,4.62,4.77,5.33
2023-11-08,5.54,4.93,4.51,4.54,4.49,4.64,5.33
2023-11-07,5.55,4.91,4.53,4.58,4.58,4.75,5.33
2023-11-06,5.56,4.93,4.60,4.66,4.67,4.84,5.33
2023-11-03,5.53,4.83,4.49,4.55,4.57,4.77,5.33
2023-11-02,5.54,4.98,4.65,4.68,4.67,4.82,5.33
2023-11-01,5.57,4.95,4.67,4.75,4.77,4.96,5.33
2023-10-31,5.59,5.07,4.82,4.89,4.88,5.04,5.33
2023-10-30,5.60,5.03,4.80,4.88,4.88,5.04,5.33
2023-10-27,5.59,4.99,4.76,4.83,4.84,5.03,5.33
2023-10-26,5.59,5.02,4.79,4.86,4.86,5.01,5.33
2023-10-25,5.59,5.08,4.89,4.98,4.95,5.09,5.33
2023-10-24,5.58,5.02,4.82,4.86,4.83,4.96,5.33
2023-10-23,5.58,5.05,4.81,4.87,4.86,5.01,5.33
2023-10-20,5.58,5.07,4.86,4.93,4.93,5.09,5.33
2023-10-19,5.60,5.14,4.95,5.00,4.98,5.11,5.33
2023-10-18,5.61,5.19,4.92,4.95,4.91,5.00,5.33
2023-10-17,5.62,5.19,4.86,4.88,4.83,4.94,5.33
2023-10-16,5.61,5.09,4.72,4.74,4.71,4.87,5.33
2023-10-13,5.62,5.04,4.65,4.66,4.63,4.78,5.33
2023-10-12,5.63,5.06,4.69,4.73,4.70,4.86,5.33
2023-10-11,5.61,4.99,4.59,4.61,4.58,4.73,5.33
2023-10-10,5.61,4.96,4.62,4.66,4.66,4.85,5.33
2023-10-09,.,.,.,.,.,.,5.33
2023-10-06,5.63,5.08,4.75,4.79,4.78,4.95,5.33
2023-10-05,5.61,5.03,4.68,4.73,4.72,4.89,5.33
2023-10-04,5.61,5.05,4.72,4.75,4.73,4.87,5.33
